,phylum,class,order,family,genus,species
2211140,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidisarcina,Acidisarcina polymorpha
660522,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,Haloplanus aerogenes
1816183,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloplanus,Haloplanus rallus
751944,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp. DL1
203193,Euryarchaeota,Halobacteria,Halobacteriales,Natrialbaceae,Halobiforma,NA
229731,Euryarchaeota,Halobacteria,Halobacteriales,Natrialbaceae,Halobiforma,Halobiforma lacisalsi
2279,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,NA
84599,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus
1982875,Uroviricota,Caudoviricetes,NA,NA,NA,NA
1982881,Uroviricota,Caudoviricetes,NA,NA,Arequatrovirus,NA
2220065,Uroviricota,Caudoviricetes,NA,NA,Arequatrovirus,NA
2767576,Uroviricota,Caudoviricetes,NA,NA,Salutenavirus,Salutenavirus salutena
2560188,Uroviricota,Caudoviricetes,NA,NA,Nickievirus,NA
2560688,Uroviricota,Caudoviricetes,NA,NA,Nickievirus,Nickievirus nickie
2733219,Uroviricota,Caudoviricetes,NA,NA,Vashvirus,NA
2734285,Uroviricota,Caudoviricetes,NA,NA,Vashvirus,Vashvirus lilbooboo
2731342,NA,NA,NA,NA,NA,NA
2732092,NA,NA,NA,NA,NA,NA
2732416,Cressdnaviricota,NA,NA,NA,NA,NA
2732424,Cressdnaviricota,Repensiviricetes,NA,NA,NA,NA
2732539,Cressdnaviricota,Repensiviricetes,Geplafuvirales,NA,NA,NA
10811,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Geminiviridae,NA,NA
10812,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Geminiviridae,Mastrevirus,NA
10834,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Geminiviridae,Mastrevirus,Wheat dwarf virus
76632,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,NA
377615,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,Thermobacillus composti
2755,Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix,NA
